OBJECTID,NAME,STARTDATE,ENDDATE,LABELNAME,Shapearea,Shapelen
1,OLDE STAGE,2009/01/07 00:00:00+00,2009/01/08 00:00:00+00,Olde Stage Fire,138062916.847096,75746.3081598994
2,FOURMILE,2010/09/06 00:00:00+00,2010/09/08 00:00:00+00,Fourmile Fire,278016653.816502,113832.686891157
3,LLAMA RANCH,2009/01/08 00:00:00+00,2009/01/08 00:00:00+00,Llama Ranch Fire,1521243.38673934,4993.64271639365
4,ELK MOUNTIAN,2006/02/14 00:00:00+00,2006/02/14 00:00:00+00,Elk Mountain Fire,108559032.484783,40081.8286368919
5,WONDERLAND,,2002/02/02 00:00:00+00,Wonderland Fire,13027297.7011839,21800.819115352
6,WALKER RANCH,,2000/02/02 00:00:00+00,Walker Ranch Fire,46407870.4534314,40811.9722263986
7,TWIN SISTER,,2000/10/11 00:00:00+00,Twin Sister Fire,163618.423299264,2776.04278435339
8,POORMAN,,2000/03/09 00:00:00+00,Poorman Fire,98842.798331267,1611.31942679
9,MTN RIDGE,,2000/09/08 00:00:00+00,Mtn Ridge Fire,773187.019884326,4925.16586450025
10,LEFTHAND 2000,,2000/09/26 00:00:00+00,LeftHand Fire 2000,924715.096508129,5877.98949411718
11,FOUNTAIN TREE,,2000/03/09 00:00:00+00,Fountain Tree Fire,163380.04744512,3341.3923497103
12,ELDO SPRINGS,,2000/02/02 00:00:00+00,Eldorado Springs,343033.331910886,3725.83633263303
13,BUTTONROCK,,2000/02/02 00:00:00+00,Button Rock Fire,108843.014179859,1389.10297912896
14,BROOK,,2000/02/02 00:00:00+00,Brook Fire,33837.1185308463,690.497215216431
15,SUNSHINE CANYON,,2006/02/01 00:00:00+00,Sunshine Canyon Fire,1213559.41886607,4764.34979995002
16,DOME,2010/10/29 00:00:00+00,2010/10/29 00:00:00+00,Dome Fire,3730568.606379,10711.5787667377
17,LINDSAY,2003/03/01 00:00:00+00,2003/03/01 00:00:00+00,Lindsay Fire,764148.495785611,5543.75948128907
18,LEFTHAND 2011,2011/03/11 00:00:00+00,2011/03/14 00:00:00+00,LeftHand Fire 2011,27145293.5664496,43483.4820208315
19,LEFTHAND 1988,1988/09/07 00:00:00+00,1988/09/07 00:00:00+00,LeftHand Fire 1988,150858324.332122,58357.9292318305
20,OVERLAND,2003/11/04 00:00:00+00,2003/11/04 00:00:00+00,Overland Fire,140775587.161419,74595.4763580529
21,COFFINTOP,2011/06/29 00:00:00+00,2011/06/29 00:00:00+00,Coffintop Fire,1298647.99811336,8563.67628120145
22,LONGMONT DAM ROAD,2011/03/11 00:00:00+00,2011/03/11 00:00:00+00,Longmont Dam Road,37658.597219047,721.132767038789
23,MAXWELL,2011/06/26 00:00:00+00,2011/06/27 00:00:00+00,Maxwell Fire,2626810.69850203,8400.25902533422
24,BLUE JAY,2011/09/12 00:00:00+00,2011/09/12 00:00:00+00,Blue Jay Fire,553368.188209095,2637.68961506091
25,OUZEL,1978/08/09 00:00:00+00,1978/08/09 00:00:00+00,Ouzel Fire,11153789.3595919,23908.3785611224
26,BEAVER RESERVOIR,1988/09/01 00:00:00+00,1988/09/01 00:00:00+00,Beaver Reservoir,19304717.7892481,29222.1769485034
27,LYKINS,,2005/01/01 00:00:00+00,Lykins Fire,1543766.87252163,7475.5226892105
28,NORTH FOOTHILLS,,2005/09/01 00:00:00+00,North Foothills Fire,3368053.96478879,8531.17451266157
29,STONE CANYON,2012/02/22 00:00:00+00,2012/02/22 00:00:00+00,Stone Canyon Fire,599801.208886004,4244.2846541427
30,BLACK TIGER FIRE,,1989/07/09 00:00:00+00,Black Tiger Fire,81259597.5959393,63038.7725274601
31,FLAGSTAFF,2012/06/25 00:00:00+00,2012/07/02 00:00:00+00,Flagstaff Fire,11535328.3857038,22058.7146794729
32,SUGARLOAF,,2003/07/25 00:00:00+00,Sugarloaf Fire,132735.311302849,2819.21042696933
33,COLD SPRINGS,2016/07/09 00:00:00+00,2016/07/14 00:00:00+00,Cold Springs Fire,24646095.5778103,29639.9454513439
34,WAGONWHEEL GAP,2017/02/10 00:00:00+00,2017/02/11 00:00:00+00,Wagonwheel Gap Fire,196718.33231015,2579.52062090299
35,SUNSHINE FIRE,2017/03/19 00:00:00+00,2017/03/20 00:00:00+00,Sunshine Fire,3132862.74443984,12420.0041099825
36,SETTLER'S PARK,2008/04/20 00:00:00+00,2008/04/20 00:00:00+00,Settler's Park Fire,115265.593053054,1580.83449450395
37,OLD KIM RIDGE,2017/04/19 00:00:00+00,2017/04/19 00:00:00+00,Old Kiln Ridge Fire,25718.2433293068,724.115969484292
38,PEEWINK,2010/09/17 00:00:00+00,2010/09/18 00:00:00+00,Peewink Fire,145034.531217439,1688.53385791062
39,COMFORTER,1976/06/01 00:00:00+00,1976/06/01 00:00:00+00,Comforter Mtn Fire,10903746.4338042,19204.6996365136
40,GOLD HILL FIRE,1974/05/28 00:00:00+00,1974/05/28 00:00:00+00,Gold Hill Fire,1619412.34176706,5284.1041333575
